section_title,url,content_title
Algorithms,https://youtu.be/KEEKn7Me-ms,Recursion
Algorithms,https://youtu.be/P3YID7liBug,Binary Search
Algorithms,https://youtu.be/SLauY6PpjW4,Quicksort
Algorithms,https://youtu.be/KF2j-9iSf4Q,Merge Sort
Algorithms,https://youtu.be/6Gv8vg0kcHc,Bubble Sort
Algorithms,https://youtu.be/P8Xa2BitN3I,Memoization and Dynamic Programming
Data Structures,https://youtu.be/xLetJpcjHS0,Introduction to Data Structures
Data Structures,https://youtu.be/ZniDyolzrBw,Data Types vs. Abstract Data Types
Data Structures,https://youtu.be/ij2jrsUmwCI,Understanding the Void Pointers
Data Structures,https://youtu.be/oPScHNQDCkc,Understanding the Null Pointers
Data Structures,https://youtu.be/R9PTBwOzceo,Introduction to Linked List
Data Structures,https://youtu.be/b5QR4AmrspU,Array vs. Single Linked List (In Terms of Representation)
Data Structures,https://youtu.be/DneLxrPmmsw,Creating the Node of a Single Linked List
Data Structures,https://youtu.be/8hly31xKli0,Algorithms and Data Structures
Data Structures,https://youtu.be/l26oaHV7D40,Statements & Functions
Data Structures,https://youtu.be/rL8X2mlNHPM,Intro to Algorithms
Data Structures,https://youtu.be/DuDz6B4cqVc,Data Structures
Database Management Systems,https://youtu.be/6Iu45VZGQDk,Introduction to Database Management Systems
Database Management Systems,https://youtu.be/wClEbCyWryI,DBMS Characteristics
Database Management Systems,https://youtu.be/qoAL4MA3P08,Database Users
Database Management Systems,https://youtu.be/YcYF-kxE0Sw,Advantages & Disadvantages of DBMS
Datababase Architecture,https://youtu.be/qMAxQh6Xilo,Fundamentals of Database Systems
Datababase Architecture,https://youtu.be/DkEMtOFMNQE,DBMS Languages Interfaces And Classification
Datababase Architecture,https://youtu.be/rqcTHitakDM,Database System Environment
Datababase Architecture,https://youtu.be/dftMGbbULhE,DBMS Architecture
Datababase Architecture,https://youtu.be/wOD02sezmX8,Basic Concepts of Entity-Relationship Model
Datababase Architecture,https://youtu.be/Q45sr5p_NmQ,Introduction to Relational Data Model
Agile,https://youtu.be/3j4K2ZzXP70,What is Agile?
Agile,https://youtu.be/VVR71Oo1XdU,Agile vs Waterfall Methodology | When Does Agile Work Best? What to choose?
Agile,https://youtu.be/-lofFJLdpsA,Agile Project Management - Sprints
Agile,https://youtu.be/DZK5NZdcWss,How to create an Agile Product Vision?
Agile,https://youtu.be/BJR70jnpHog,What Is A Product Roadmap?
Agile,https://youtu.be/RDzkxWdeTPo,How to create Product Roadmap?
Agile,https://youtu.be/gU-fimA5lio,How To Create A Product Backlog?
Scrum,https://youtu.be/sLK3EHPCw14,What is Scrum?
Scrum,https://youtu.be/K7YMEFjh724,Scrum vs Agile
Scrum,https://youtu.be/j7T1m2Amc40,Scrum Roles and Responsibilities
Scrum,https://youtu.be/Qp6r1CDyDP0,Everything You Need to Know About Scrum Artifacts
Scrum,https://youtu.be/hgmOS_MxvNI,Scrum Fondations
Scrum,https://youtu.be/xcC0LmkzG9g,The Daily Scrum
Scrum,https://youtu.be/CoaoQfBG1Nk,Scrum Essentials
Scrum,https://youtu.be/hJwzDO3CbO8,Sprint Planning
Scrum,https://youtu.be/LHKe9KbiDgA,Scrum Sprint Review
Scrum,https://youtu.be/ox9qzZGbJS8,Scrum Sprint Retrospective
Scrum,https://youtu.be/gU-fimA5lio,How To Create A Product Backlog?
Scrum,https://youtu.be/AkKWahnGgi4,5 Common User Story Writing Mistakes
Soft Skill,https://youtu.be/Ds5PD3UW57k,The 4 Essential Skills of Every Developer
Soft Skill,https://youtu.be/gsTcKDU73WE,What A Software Developer's Job Is Like In 2023?
Soft Skill,https://youtu.be/_EzmbCuoFcU,How to self study technical things?
Soft Skill,https://youtu.be/J6rVaFzOEP8,Guide To Becoming A Self-Taught Software Developer
Soft Skill,https://youtu.be/gNmrGZSGK1k,What Are The Steps of the Software Development Lifecycle?
